dsdbestDenmark,dsdbestSweden,dsdMPSweden,dsdoffshoreSweden,dsdbestGlasgow,dsdMPGlasgow,dsdoffshoreGlasgow,,,,
"9,94097108349158","14,655502770889","9,85697636170471","14,7008258026978","7,9138940306135","5,30547319199393","7,67017214990039",,,,
"9,85359412387358","14,5266870583154","9,770337680405","14,5716117197148","7,84433422671443","5,25884031146769","7,60275455894513",,,,
"9,76724766264194","14,3993905606988","9,68472079045242","14,4439215499532","7,77559479086188","5,21275740553824","7,53613207140152",,,,
"9,68191646936675","14,2735908245378","9,60011059010425","14,3177327704729","7,70766359828382","5,16721634576047","7,47029293590056",,,,
"9,59758558392228","14,1492657948276","9,51649224563807","14,1930232580627","7,64052873939426","5,12220914795001","7,40522560963232",,,,
"9,51424031089228","14,0263938068122","9,43385118580431","14,0697712809669","7,57417851533946","5,07772796919732","7,34091875402924",,,,
"9,43186621410754","13,9049535779313","9,35217309640996","13,9479554908075","7,50860143364927","5,03376510495241","7,27736123055139",,,,
"9,350449111312","13,7849241999564","9,2714439150298","13,8275549146963","7,44378620399093","4,99031298617813","7,21454209657112",,,,
"9,26997506895435","13,6662851313129","9,19164982584193","13,7085489475325","7,37972173402268","4,94736417657049","7,15245060135426",,,,
"9,19043039710145","13,5490161895809","9,11277725458421","13,5909173444807","7,31639712534444","4,90491136984396","7,09107618213557",,,,
"9,11180164447056","13,4330975441714","9,03481286362848","13,4746402136248","7,25380166954299","4,86294738708016","7,0304084602857",,,,
"9,0340755935773","13,3185097091732","8,95774354716946","13,3596980087922","7,19192484432933","4,82146517413835","6,9704372375675",,,,
"8,95723925599613","13,205233536366","8,88155642652536","13,2460715225454","7,13075630976558","4,78045779912598","6,91115249247916",,,,
"8,88127986773065","13,0932502083943","8,8062388455472","13,1337418793353","7,07028590457935","4,73991844992779","6,85254437668201",,,,
"8,8061848846906","12,9825412321001","8,73177836613411","13,0226905288127","7,01050364256306","4,69984043179193","6,79460321151078",,,,
"8,73194197827307","12,8730884320082","8,65816276385185","12,9128992392934","6,95139970905612","4,66021716497164","6,73731948456412",,,,
"8,65853903104502","12,764873943961","8,58538002365176","12,8043500913741","6,89296445750789","4,62104218242105","6,68068384637338",,,,
"8,58596413252455","12,6578802088992","8,51341833568775","12,6970254716928","6,83518840611918","4,5823091275436","6,62468710714757",,,,
"8,51420557505846","12,5520899667843","8,44226609122867","12,5909080668335","6,77806223456041","4,54401175199195","6,56932023359259",,,,
